column,unit,format,description
rest_156_frac,,,Fraction of u.dat covered by spectrum
rest_156_flux,,,Spectrum flux in u.dat
rest_156_err,,,Spectrum err in u.dat
rest_156_full_err,,,Spectrum err in u.dat
rest_157_valid,,,
rest_157_frac,,,Fraction of g.dat covered by spectrum
rest_157_flux,,,Spectrum flux in g.dat
rest_157_err,,,Spectrum err in g.dat
rest_157_full_err,,,Spectrum err in g.dat
rest_158_valid,,,
rest_158_frac,,,Fraction of r.dat covered by spectrum
rest_158_flux,,,Spectrum flux in r.dat
rest_158_err,,,Spectrum err in r.dat
rest_158_full_err,,,Spectrum err in r.dat
rest_159_valid,,,
rest_159_frac,,,Fraction of i.dat covered by spectrum
rest_159_flux,,,Spectrum flux in i.dat
rest_159_err,,,Spectrum err in i.dat
rest_159_full_err,,,Spectrum err in i.dat
rest_160_valid,,,
rest_160_frac,,,Fraction of z.dat covered by spectrum
rest_160_flux,,,Spectrum flux in z.dat
rest_160_err,,,Spectrum err in z.dat
rest_160_full_err,,,Spectrum err in z.dat
rest_161_valid,,,
rest_161_frac,,,Fraction of J.res covered by spectrum
rest_161_flux,,,Spectrum flux in J.res
rest_161_err,,,Spectrum err in J.res
rest_161_full_err,,,Spectrum err in J.res
rest_162_valid,,,
rest_162_frac,,,Fraction of H.res covered by spectrum
rest_162_flux,,,Spectrum flux in H.res
rest_162_err,,,Spectrum err in H.res
rest_162_full_err,,,Spectrum err in H.res
rest_163_valid,,,
rest_163_frac,,,Fraction of K.res covered by spectrum
rest_163_flux,,,Spectrum flux in K.res
rest_163_err,,,Spectrum err in K.res
rest_163_full_err,,,Spectrum err in K.res
rest_414_valid,,,
rest_414_frac,,,Fraction of synthetic_u covered by spectrum
rest_414_flux,,,Spectrum flux in synthetic_u
rest_414_err,,,Spectrum err in synthetic_u
rest_414_full_err,,,Spectrum err in synthetic_u
rest_415_valid,,,
rest_415_frac,,,Fraction of synthetic_g covered by spectrum
rest_415_flux,,,Spectrum flux in synthetic_g
rest_415_err,,,Spectrum err in synthetic_g
rest_415_full_err,,,Spectrum err in synthetic_g
rest_416_valid,,,
rest_416_frac,,,Fraction of synthetic_i covered by spectrum
rest_416_flux,,,Spectrum flux in synthetic_i
rest_416_err,,,Spectrum err in synthetic_i
rest_416_full_err,,,Spectrum err in synthetic_i
beta,,,Estimated UV slope beta
beta_ref_flux,,,
beta_npix,,,Number of pixels for beta fit
beta_wlo,,,Minimum wavelength used for beta fit
beta_whi,,,Maximum wavelength used for beta fit
beta_nmad,,,NMAD of the beta fit
dla_npix,,,Number of pixels for the DLA fit
dla_value,,,DLA parameter from Heintz et al.
dla_unc,,,Uncertainty on DLA parameter
beta_cov_00,,,Components of the beta covariance matrix
beta_cov_01,,,Components of the beta covariance matrix
beta_cov_10,,,Components of the beta covariance matrix
beta_cov_11,,,Components of the beta covariance matrix
